Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CEPE0079;PLAST-60;CLAB0150;;;;;;1;/;
PLAST-60;CEPE0079;PLAST-60;CLAB0163;;;;;;1;/;
PLAST-60;CEPE0080;PLAST-60;CLAB0167;;;;;;1;/;
PLAST-60;CEPE0080;PLAST-60;CLAB1022;;;;;;1;/;
PLAST-60;CEPE0309;PLAST-60;CLAB0068;;;;Non spécifié;;1;/;
PLAST-60;CEPE0309;PLAST-60;CLAB0078;;;;Non spécifié;;1;/;
PLAST-60;CEPE0310;PLAST-60;CLAB0068;;;;Non spécifié;;1;/;
PLAST-60;CEPE0310;PLAST-60;CLAB0078;;;;Non spécifié;;1;/;
PLAST-60;CFEP0007-D;PLAST-60;CFEP0047;;;;;;1;/;
PLAST-60;CFEP0008-E;PLAST-60;CFEP0047;;;;;;1;/;
PLAST-60;CFEP0009-D;PLAST-60;CFEP0046;;;;;;1;/;
PLAST-60;CFEP0010-E;PLAST-60;CFEP0046;;;;;;1;/;
PLAST-60;CFEP0024;PLAST-60;CLAB0015;;;;;;1;/;
PLAST-60;CFEP0024;PLAST-60;CLAB0285;;;;;;1;/;
PLAST-60;CFEP0033-E;PLAST-60;CFEP0048;;;;;;1;/;
PLAST-60;CFEP0034-D;PLAST-60;CFEP0048;;;;;;1;/;
PLAST-60;CFEP0039;PLAST-60;CLAB0146;;;;;;1;/;
PLAST-60;CFEP0039;PLAST-60;CLAB0164;;;;;;1;/;
PLAST-60;CFEP0040;PLAST-60;CLAB0146;;;;;;1;/;
PLAST-60;CFEP0040;PLAST-60;CLAB0164;;;;;;1;/;
PLAST-60;CFEP0049;PLAST-60;CLAB0062;;;;;;1;/;
PLAST-60;CFEP0049;PLAST-60;CLAB0170;;;;;;1;/;
PLAST-60;CFEP0126;PLAST-60;CLAB0068;;;;;;1;/;
PLAST-60;CFEP0126;PLAST-60;CLAB0078;;;;;;1;/;
