Code;Identification;Localisation;Domaine de mesure;Famille d'instrument;Désignation;Etat d'utilisation;Fourniseur;Gestionnaire;Intervention;Périodicité Arg;Périodicité Nb;Procédure;Tolérance;Tolérance Arg;Durée (j);Durée (h);Durée (min);Seuil alerte;Seuil alerte Arg;Type périodicité;Calcul de périodicité;Date campagne;Anticipation;Nom intervention mise en sommeil;Nom intervention remise en service;Lieu d'intervention;Entrée/Sortie via mouvements;Prestataire;Détail;Coefficient d'utilisation
PLAST-60;CSCR0185;LABORATOIRE DEVELOPPEMENT / SCR / SCR-052 ADM BENCH;Débit;Variable;Flowmeter;Sommeil;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+ METROLOGIE;;
PLAST-60;CSCR0186;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-09;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0187;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-09;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0188;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-09;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0189;LABORATOIRE DEVELOPPEMENT / SCR / to be defined;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0190;LABORATOIRE DEVELOPPEMENT / SCR / to be defined;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0191;LABORATOIRE DEVELOPPEMENT / SCR / to be defined;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0192;LABORATOIRE DEVELOPPEMENT / SCR / to be defined;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0193;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-03;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0194;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-03;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
